date,open,high,low,close,volume
20080529,26194,26899,26194,26835,109560
20080530,30860,30860,26667,29983,8528
20080602,26785,27730,26785,27594,21075
20080603,27594,27934,27398,27589,5904
20080604,27612,27612,27039,27589,6340
20080605,27889,27889,27080,27376,2375
20080609,26803,26803,26567,26717,4216
20080610,26803,26826,25745,25849,4345
20080611,25849,26349,25240,25586,8999
20080612,25531,25531,24186,24350,5489
20080613,25259,25259,23105,23351,3970
20080616,23714,24459,23078,23214,1507
20080617,23360,23455,23014,23214,2119
20080618,23232,23996,23232,23987,3289
20080619,23991,23991,23432,23750,1339
20080620,24922,24922,23623,23759,192
20080623,23169,23823,23014,23823,657
20080624,23569,23696,23369,23378,3082
20080625,23532,23532,22842,23051,1644
20080626,23051,24532,23051,23446,1173
20080627,23932,23932,22606,22665,1401
20080630,22442,22805,22442,22655,406
20080701,22655,22796,22251,22251,4940
20080702,22215,22215,21124,21238,2423
20080703,21188,21188,20352,21106,1657
20080704,22079,22079,21025,21052,813
20080707,21034,21270,20988,21261,489
20080708,22088,22088,20302,20707,704
20080709,22069,22069,20988,21038,2758
20080710,20897,21524,20598,21524,2037
20080711,21783,22183,21406,22183,2905
20080714,22188,22733,22019,22496,1240
20080715,22705,22705,21742,21833,2048
20080716,22033,22079,21229,21715,1302
20080717,21733,22397,21733,22165,522
20080718,22533,22533,21306,21306,1387
20080721,21588,21988,21588,21829,2613
20080722,21261,21988,21261,21951,385
20080723,22451,23019,22333,22855,1172
20080724,23260,23759,23260,23746,4525
20080725,23232,23478,23228,23469,360
20080728,23896,23991,23519,23728,979
20080729,23623,23623,22796,23364,2146
20080730,23169,23819,22319,22428,2878
20080731,22278,22506,22169,22483,750
20080801,22442,22442,22060,22224,491
20080804,21806,21806,19898,20016,8257
20080805,19989,20071,19189,19357,5309
20080806,19907,19989,19534,19762,2928
20080807,20080,20080,19534,19793,477
20080808,19943,19975,19521,19807,1522
20080811,20425,20425,19534,19939,1526
20080812,20170,20379,19262,20139,1814
20080813,20434,20434,19544,19716,398
20080814,19716,20080,19262,19952,1479
20080818,20034,20166,19916,19989,1351
20080819,19989,19989,19121,19525,1084
20080820,18962,19498,18962,19330,575
20080821,20066,20170,18390,18458,2084
20080822,18353,18353,17854,18244,1165
20080825,18826,18826,18053,18053,294
20080826,18126,18126,17854,17881,338
20080827,17881,17881,17354,17445,1000
20080828,17935,17935,17172,17445,586
20080829,17277,17717,17158,17526,520
20080901,16809,17059,16036,16036,1601
20080902,16036,16150,15446,15528,458
20080903,15627,16259,15196,15936,777
20080904,16036,16627,15936,16173,759
20080905,16154,16154,16050,16050,171
20080908,16745,17263,16282,17036,2164
20080909,18172,18172,16872,17072,792
20080910,16745,17122,16713,17086,515
20080911,17222,17308,17104,17104,311
20080912,17490,17563,17354,17536,268
20080916,14991,16354,14991,15959,1069
20080917,16354,17263,16354,17004,1206
20080918,16718,16790,16354,16541,410
20080919,17263,18399,17263,18131,3883
20080922,19080,19080,18262,18267,1183
20080923,18131,18589,17913,18589,558
20080924,18589,18894,18353,18671,498
20080925,18580,18826,18490,18826,209
20080926,18503,18867,18503,18626,94
20080929,18626,18717,17904,17963,484
20080930,17263,17599,16700,17458,715
20081001,17458,17458,17108,17172,606
20081002,17717,17717,16718,16727,402
20081006,17168,17168,15355,15568,2083
20081007,15627,15627,14573,15446,368
20081008,15446,15446,13633,13633,1702
20081009,14083,14083,13083,13324,539
20081010,12902,12902,11752,12384,1810
20081013,12447,13220,12397,13220,1456
20081014,13356,14719,13356,14719,4356
20081015,14719,14732,14446,14446,661
20081016,13992,13992,12393,12393,1171
20081017,11993,12456,11425,11448,1326
20081020,12084,12084,10489,11175,669
20081021,11630,11789,11221,11221,627
20081022,10648,11048,9899,10135,550
20081023,9722,9722,9076,9394,777
20081024,9399,9399,7986,7986,1204
20081027,7986,7995,7018,7991,316
20081028,6905,8290,6814,8131,4833
20081029,8540,9240,7573,8104,4990
20081030,8995,9313,8845,9272,2623
20081031,10444,10612,10085,10494,3044
20081103,10676,11625,10676,11502,3121
20081104,11902,11902,10803,11175,1778
20081105,11539,12157,11144,11648,2583
20081106,10857,10857,9903,9935,2304
20081107,8995,11075,8995,11075,963
20081110,11575,12184,11389,12084,2025
20081111,12175,12175,11175,11175,1797
20081112,11175,11175,10630,10903,668
20081113,10362,10626,9817,10626,1654
20081114,11539,11584,10994,10994,911
20081117,10939,11075,10812,11003,155
20081118,10903,11166,10539,10539,686
20081119,10448,10507,10090,10267,698
20081120,10621,10621,9008,9008,4090
20081121,9994,10176,9063,10176,1727
20081124,10176,10762,9994,9994,877
20081125,10003,10966,10003,10217,630
20081126,10185,10385,10103,10135,124
20081127,10812,11121,10721,10903,1024
20081128,11130,11130,10621,10621,840
20081201,10712,11057,10666,10757,41
20081202,10167,10448,10167,10448,241
20081203,10721,11171,10721,10762,767
20081204,11175,11175,10503,10503,242
20081205,10716,10803,10680,10680,23
20081208,11357,12129,11175,12129,2333
20081209,12175,12674,11811,12425,1325
20081210,12356,13170,12347,12765,1779
20081211,12897,13356,12770,13179,1485
20081212,13002,13583,12461,13020,2073
20081215,13174,14083,13174,14083,1164
20081216,13629,14083,12947,13828,520
20081217,14087,14255,13320,13320,1118
20081218,13460,13460,13320,13320,130
20081219,13360,13610,13360,13610,157
20081222,14083,14083,13574,13897,326
20081223,13915,13915,13356,13356,422
20081224,13333,13333,12538,12756,684
20081226,12756,12756,12420,12629,325
20081229,12356,12488,12120,12488,507
20081230,12711,12838,12711,12756,22
20090102,12756,14078,12756,13815,2143
20090105,13906,14451,13901,13910,414
