date,open,high,low,close,volume
20221017,20560,20560,19930,19930,3949902
20221018,18830,19900,18830,18930,6454675
20221019,18980,19565,18370,19520,4107704
20221020,19810,20700,19545,20425,5457998
20221021,20700,20715,20055,20510,8807080
20221024,19535,19535,18915,19075,9262236
20221025,19180,19385,18735,19165,7515186
20221026,19130,19400,18915,19330,5007479
20221027,19070,19090,18480,18480,3822373
20221028,18910,19025,18445,19025,5330666
20221031,17215,18935,17215,18420,2325262
20221101,18525,18725,18325,18435,3078712
20221102,18750,18940,18595,18735,5222886
20221103,19565,19590,19005,19255,4133922
20221104,19480,20000,19265,19310,4759709
20221107,19300,19350,18850,18850,4255490
20221108,18700,18745,17900,17910,6387800
20221109,17880,18220,17775,18025,4948865
20221110,18495,18710,18220,18705,3426643
20221111,17065,17170,16380,16445,3780720
20221114,16545,16970,16530,16845,4278162
20221115,16855,16860,15765,15765,4075365
20221116,15685,16155,15670,15985,2367403
20221117,16615,16615,15955,16285,5490382
20221118,16250,16715,16010,16690,4179414
20221121,16670,17510,16600,17470,3520927
20221122,17070,17925,17070,17895,5199313
20221123,17405,17535,16945,16985,9406019
20221124,16725,16795,16265,16405,4764929
20221125,16540,16850,16480,16825,6073200
20221128,16960,17735,16960,17625,4808505
20221129,17840,17895,16840,16945,3193389
20221130,17410,17410,16910,16935,3784209
20221201,16000,16555,15835,16250,6847933
20221202,16650,16985,16400,16985,3158410
20221205,16800,16965,16470,16760,4497360
20221206,16995,17535,16995,17495,1653007
20221207,17825,17895,17170,17545,1867807
20221208,17595,17695,17340,17565,1538162
20221209,17350,17605,17050,17190,3471161
20221212,17440,17700,17405,17690,4389402
20221213,15980,17825,15980,17550,1359229
20221214,17530,17530,16730,16765,2955054
20221215,17045,17470,16830,17420,1973312
20221216,18240,18240,17625,17880,1436144
20221219,17855,17995,17450,17790,1961650
20221220,18620,18710,17840,18615,2122558
20221221,18255,18590,18050,18325,1126686
20221222,18095,18100,17410,17410,814917
20221223,18005,18780,17850,18780,1848976
20221226,18700,19090,18100,18150,1931815
20221227,18000,18070,17495,17585,1128068
20221228,17805,18775,17805,18590,1092603
20221229,18995,19690,18610,19310,1109502
20230102,19115,19825,18620,19680,1916871
20230103,19660,20260,19325,19490,1728411
20230104,19925,20175,19175,19200,1224470
20230105,19165,19815,18955,19590,962419
20230106,19800,19935,18655,18825,1177127
20230109,18300,18420,18005,18110,752266
20230110,18250,18865,18080,18835,732806
20230111,18405,18420,17765,17920,1020130
20230112,17745,18135,17660,17790,458793
20230113,17635,18150,17550,17950,673131
20230116,17720,17960,17505,17680,428367
20230117,17690,18430,17655,18390,757772
20230118,18100,18475,18100,18240,533019
20230119,18415,18780,18170,18175,650725
20230120,18410,18410,17940,18045,649284
20230125,17080,17530,17080,17215,211810
20230126,17215,17255,16720,16730,280565
20230127,16670,16850,16580,16735,966292
20230130,16705,17800,16600,17060,713961
20230131,17900,17900,16955,16970,846546
20230201,16780,16900,16090,16230,577411
20230202,15680,15865,15445,15530,571897
20230203,15540,15705,15290,15415,770438
20230206,15660,15775,15420,15775,838184
20230207,15775,15820,14925,15045,687004
20230208,14820,14870,14690,14710,720002
20230209,14920,14935,14325,14340,580197
20230210,14520,14795,14340,14700,1128055
20230213,14920,14965,14555,14705,1095991
20230214,14420,14665,14285,14310,791451
20230215,14200,14880,14035,14835,2201456
20230216,14500,14500,13560,13630,3104220
20230217,14095,14330,13840,14190,3010813
20230220,14085,14240,13285,13355,2691178
20230221,13375,13525,13190,13190,1066973
20230222,13690,14030,13425,13885,1424553
20230223,13625,14180,13565,13740,1919948
20230224,13650,14180,13650,13995,850527
20230227,14275,14460,13855,13945,1424836
20230228,13850,13850,13245,13385,1932892
20230302,13385,13755,13025,13755,1434199
20230303,13545,13545,12920,12940,2651969
20230306,12640,12785,12345,12345,1024574
20230307,12440,12545,12145,12365,1215851
20230308,12585,12645,12310,12435,1827087
20230309,12370,13550,12360,12655,1538046
20230310,13085,13470,13035,13355,4993840
